dish,prompt,generation,has_forbidden,has_required,compliant
Grilled salmon with broccoli,Generate a diabetes-friendly Grilled salmon with broccoli recipe.,"Ingredients: salmon fillets, olive oil, onion, garlic cloves, salt, pepper, broccoli florets",0,1,1
Chicken and vegetable stir fry,Generate a diabetes-friendly Chicken and vegetable stir fry recipe.,"Ingredients: boneless skinless chicken breasts, vegetable oil, onion, garlic cloves, garlic cloves, chicken broth, salt and pepper",0,1,1
Zucchini noodles with pesto,Generate a diabetes-friendly Zucchini noodles with pesto recipe.,"Ingredients: Zucchini noodles, olive oil, garlic cloves, garlic cloves, garlic cloves, salt, pepper",1,1,0
Shrimp and cauliflower rice,Generate a diabetes-friendly Shrimp and cauliflower rice recipe.,"Ingredients: shrimp, cauliflower, onion, garlic cloves, salt, fresh ground black pepper, fresh ground black pepper",0,1,1
Low-carb turkey lettuce wraps,Generate a diabetes-friendly Low-carb turkey lettuce wraps recipe.,"Ingredients: olive oil, onion, garlic cloves, green bell peppers, green bell peppers, green onion, green bell peppers, green bell peppers",0,1,1
Greek salad with feta,Generate a diabetes-friendly Greek salad with feta recipe.,"Ingredients: feta cheese, olive oil, olive oil, garlic cloves, feta cheese, olive oil, olive oil",0,1,1
Tomato basil soup,Generate a diabetes-friendly Tomato basil soup recipe.,"Ingredients: olive oil, onion, garlic cloves, tomatoes, fresh basil, garlic cloves, salt and pepper",0,1,1
Cauliflower crust pizza,Generate a diabetes-friendly Cauliflower crust pizza recipe.,"Ingredients: cauliflower, olive oil, garlic cloves, paprika, salt, pepper, fresh ground black pepper, mozzarella cheese",0,1,1
Eggplant parmesan (low-carb),Generate a diabetes-friendly Eggplant parmesan (low-carb) recipe.,"Ingredients: eggs, parmesan cheese, parmesan cheese, parmesan cheese",0,0,0
Beef and mushroom stew,Generate a diabetes-friendly Beef and mushroom stew recipe.,"Ingredients: beef tenderloin, onion, garlic cloves, scallions, garlic cloves, thyme, salt, pepper",0,0,0
